simulation,analysis,data,node,scenario,heuristic,time,model,model-bw,ideal-normalization,model-normalization
1,4,4,128,ideal,model-model,5.2387,5.06274577367266,5.06274577367266,1.00000000000000000000,1.00000000000000000000
1,4,4,128,ideal,model-even,5.4420,5.265255604619566,5.265255604619566,1.00000000000000000000,1.03880733769828392540
1,4,4,128,ideal,even-model,5.2387,5.06274577367266,5.06274577367266,1.00000000000000000000,1.00000000000000000000
1,4,4,128,ideal,even-even,5.4420,5.265255604619566,5.265255604619566,1.00000000000000000000,1.03880733769828392540
1,4,4,128,transit,model-model,289.7234,5.649786320624037,268.07692253122156,55.30444575944413690419,1.00000000000000000000
1,4,4,128,transit,model-even,289.7219,5.656591770665593,268.08372798126305,53.23812936420433664094,.99999482264808434527
1,4,4,128,transit,even-model,289.4166,9.534014416053063,452.3798067714362,55.24588161185026819630,.99894105895485142035
1,4,4,128,transit,even-even,,9.54549861299819,452.3912909683814,,
1,4,4,128,increasing0.25,model-model,72.8439,5.619088718667962,51.72038880427458,13.90495733674384866474,1.00000000000000000000
1,4,4,128,increasing0.25,model-even,72.8334,5.852099403927069,51.72038880427458,13.38357221609702315325,.99985585615267716308
1,4,4,128,increasing0.25,even-model,72.8265,8.165238294314383,28.284587627337665,13.90163590203676484624,.99976113305300787025
1,4,4,128,increasing0.25,even-even,72.8112,8.503831946331522,28.284587627337665,13.37949283351708930540,.99955109487548030789
1,4,4,128,increasing0.5,model-model,145.0354,5.527622873345936,121.65953509701248,27.68537996067726726096,1.00000000000000000000
1,4,4,128,increasing0.5,model-even,145.0140,5.8698509693585965,121.74785818410419,26.64718853362734288864,.99985244981570016699
1,4,4,128,increasing0.5,even-model,145.0437,5.959468410326087,112.15488391755837,27.68696432320995666863,1.00005722740792937448
1,4,4,128,increasing0.5,even-even,145.0290,6.328433076339738,112.23630676347105,26.64994487320837927232,.99995587284207855461
1,4,4,128,increasing0.75,model-model,217.2765,5.555319401311249,192.89604853694672,41.47527058239639605245,1.00000000000000000000
1,4,4,128,increasing0.75,model-even,217.2700,6.184605051877471,192.8861155388486,39.92466005145167217934,.99997008420146679461
1,4,4,128,increasing0.75,even-model,,7.291356714221014,253.17606370474257,,
1,4,4,128,increasing0.75,even-even,217.2293,7.278319654217223,253.1630266447388,39.91718118338846012495,.99978276527834349319
1,4,4,128,decreasing0.25,model-model,72.8384,5.529896834244661,253.1630266447388,13.90390745795712676809,1.00000000000000000000
1,4,4,128,decreasing0.25,model-even,72.8298,5.89397974647635,253.1630266447388,13.38291069459757442116,.99988193041033301115
1,4,4,128,decreasing0.25,even-model,72.8515,7.862822061191626,253.1630266447388,13.90640807834004619466,1.00017985018891134346
1,4,4,128,decreasing0.25,even-even,72.8392,8.38050245202106,253.1630266447388,13.38463800073502388827,1.00001098321764344082
1,4,4,128,decreasing0.5,model-model,145.0507,5.563864259516434,253.04876389511796,27.68830053257487544619,1.00000000000000000000
1,4,4,128,decreasing0.5,model-even,145.0344,5.936863261022767,253.04876389511796,26.65093715545755237045,.99988762549922199617
1,4,4,128,decreasing0.5,even-model,145.0542,5.737735017626322,253.04876389511796,27.68896863725733483497,1.00002412949403208671
1,4,4,128,decreasing0.5,even-even,145.0391,6.122390237929728,253.04876389511796,26.65180080852627710400,.99992002796263651261
1,4,4,128,decreasing0.75,model-model,217.2875,5.577568358677804,252.8784594167638,41.47737033996983984576,1.00000000000000000000
1,4,4,128,decreasing0.75,model-even,217.2807,5.95208575957557,252.8784594167638,39.92662624035281146637,.99996870505666455732
1,4,4,128,decreasing0.75,even-model,217.2375,7.462710086934431,260.34195922437436,41.46782598736327714891,.99976989012253350975
1,4,4,128,decreasing0.75,even-even,217.2316,7.520776721014494,260.40002585845446,39.91760382212421903711,.99974273715699246390
1,4,4,128,ideal,model-model,3.7632,3.5999017647603755,3.5999017647603755,1.00000000000000000000,1.00000000000000000000
1,4,4,128,ideal,model-even,4.7456,4.611597577863712,4.611597577863712,1.00000000000000000000,1.26105442176870748299
1,4,4,128,ideal,even-model,3.7632,3.5999017647603755,3.5999017647603755,1.00000000000000000000,1.00000000000000000000
1,4,4,128,ideal,even-even,4.7456,4.611597577863712,4.611597577863712,1.00000000000000000000,1.26105442176870748299
1,4,4,128,transit,model-model,289.5677,4.005810169526269,260.0190409671741,76.94719919217687074829,1.00000000000000000000
1,4,4,128,transit,model-even,289.5817,5.408641730341513,261.4218725279893,61.02109322319622387053,1.00004834793383378049
1,4,4,128,transit,even-model,,6.321669173783645,410.34254902632154,,
1,4,4,128,transit,even-even,,8.5355127306952,412.5563925832331,,
1,4,4,128,increasing0.25,model-model,72.7857,4.093896536565183,36.36618009185791,19.34143813775510204081,1.00000000000000000000
1,4,4,128,increasing0.25,model-even,72.7905,4.944393279359032,36.36618009185791,15.33852410654079568442,1.00006594701981295776
1,4,4,128,increasing0.25,even-model,72.7809,6.204811938231606,17.614868481993675,19.34016262755102040816,.99993405298018704223
1,4,4,128,increasing0.25,even-even,72.7883,7.493846064028532,17.614868481993675,15.33806051921780175320,1.00003572130239868545
1,4,4,128,increasing0.5,model-model,,4.0632849528600525,104.76098612066056,,
1,4,4,128,increasing0.5,model-even,144.9934,4.635275366695994,105.19094534698279,30.55322825354012137559,
1,4,4,128,increasing0.5,even-model,145.0245,4.88863970890975,83.4814108149014,38.53754783163265306122,
1,4,4,128,increasing0.5,even-even,,5.576815675556117,83.82403457337692,,
1,4,4,128,increasing0.75,model-model,217.1972,4.062348900923658,179.0142566430798,57.71609268707482993197,1.00000000000000000000
1,4,4,128,increasing0.75,model-even,217.1959,4.320823364521474,179.2727311066776,45.76784811193526635198,.99999401465580587595
1,4,4,128,increasing0.75,even-model,217.1840,4.506668311962183,198.59394096341663,57.71258503401360544217,.99993922573587504811
1,4,4,128,increasing0.75,even-even,217.1863,4.79341342001601,198.88068607147048,45.76582518543492919757,.99994981519098772912
1,4,4,128,decreasing0.25,model-model,72.8159,4.037165818225893,198.88068607147048,19.34946322278911564625,1.00000000000000000000
1,4,4,128,decreasing0.25,model-even,72.8294,5.241881374127751,198.88068607147048,15.34672117329737019554,1.00018539906806068454
1,4,4,128,decreasing0.25,even-model,72.7968,5.1095379886921455,198.88068607147048,19.34438775510204081632,.99973769465185488334
1,4,4,128,decreasing0.25,even-even,72.8138,6.6342561141304355,198.88068607147048,15.34343391773432231962,.99997116014496833795
1,4,4,128,decreasing0.5,model-model,145.0091,4.016624836177171,198.8125597285736,38.53345556972789115646,1.00000000000000000000
1,4,4,128,decreasing0.5,model-even,145.0263,5.303261718087093,198.8125597285736,30.56016099123398516520,1.00011861324565147980
1,4,4,128,decreasing0.5,even-model,145.0010,4.204904125372975,198.8125597285736,38.53130314625850340136,.99994414143664087288
1,4,4,128,decreasing0.5,even-even,145.0192,5.05467132505176,198.8125597285736,30.55866486850977747808,1.00006965080122557825
1,4,4,128,decreasing0.75,model-model,217.2489,4.025140878936596,197.76894057167962,57.72983099489795918367,1.00000000000000000000
1,4,4,128,decreasing0.75,model-even,217.2707,5.177955991516437,197.76894057167962,45.78361008091706001348,1.00010034573247551541
