simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,1,ideal,model-model,Simulator,5.2387,1.0
1,4,4,128,1,ideal,model-model,Model(B),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,model-model,Model(B1),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,model-model,Model(B2),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,model-model,Model(B3),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,model-even,Simulator,5.4420,1.0
1,4,4,128,1,ideal,model-even,Model(B),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,model-even,Model(B1),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,model-even,Model(B2),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,model-even,Model(B3),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,even-model,Simulator,5.2387,1.0
1,4,4,128,1,ideal,even-model,Model(B),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,even-model,Model(B1),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,even-model,Model(B2),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,even-model,Model(B3),5.06274577367266,1.03475470311828393311
1,4,4,128,1,ideal,even-even,Simulator,5.4420,1.0
1,4,4,128,1,ideal,even-even,Model(B),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,even-even,Model(B1),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,even-even,Model(B2),5.265255604619566,1.03356805607411806360
1,4,4,128,1,ideal,even-even,Model(B3),5.265255604619566,1.03356805607411806360
1,4,4,128,1,transit,model-model,Simulator,289.7234,1.0
1,4,4,128,1,transit,model-model,Model(B),5.649786320624037,51.28041726859488063770
1,4,4,128,1,transit,model-model,Model(B1),7.5016381724758885,38.62135087546855669165
1,4,4,128,1,transit,model-model,Model(B2),70.79360741031044,4.09250793395512774077
1,4,4,128,1,transit,model-model,Model(B3),268.07692253122156,1.08074726188434733511
1,4,4,128,1,transit,model-even,Simulator,289.7219,1.0
1,4,4,128,1,transit,model-even,Model(B),5.656591770665593,51.21845658059735744889
1,4,4,128,1,transit,model-even,Model(B1),7.508443622517445,38.58614575344730367752
1,4,4,128,1,transit,model-even,Model(B2),70.800412860352,4.09209336916512979687
1,4,4,128,1,transit,model-even,Model(B3),268.08372798126305,1.08071423126527578173
1,4,4,128,1,transit,even-model,Simulator,289.4166,1.0
1,4,4,128,1,transit,even-model,Model(B),9.534014416053063,30.35621589922181717369
1,4,4,128,1,transit,even-model,Model(B1),12.659014416053063,22.86249075070070191578
1,4,4,128,1,transit,even-model,Model(B2),119.46421250489885,2.42262175367482491396
1,4,4,128,1,transit,even-model,Model(B3),452.3798067714362,.63976463066625570024
1,4,4,128,1,transit,even-even,Simulator,,1.0
1,4,4,128,1,transit,even-even,Model(B),9.54549861299819,
1,4,4,128,1,transit,even-even,Model(B1),12.670498612998188,
1,4,4,128,1,transit,even-even,Model(B2),119.47569670184399,
1,4,4,128,1,transit,even-even,Model(B3),452.3912909683814,
