simulation,analysis,data,node,scenario,heuristic,time,model,model-bw,ideal-normalization,model-normalization
1,4,4,64,ideal,model-model,9.4564,9.218003930512424,9.218003930512424,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,model-even,11.3428,11.122454078699834,11.122454078699834,1.00000000000000000000,1.19948394737955247239
1,4,4,64,ideal,even-model,9.4564,9.218003930512424,9.218003930512424,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,even-even,11.3428,11.122454078699834,11.122454078699834,1.00000000000000000000,1.19948394737955247239
1,4,4,64,transit,model-model,306.8499,226.70594003090144,226.70594003090144,32.44891290554545070005,1.00000000000000000000
1,4,4,64,transit,model-even,306.1150,228.60301718780084,228.60301718780084,26.98760447155905067531,.99760501795829165986
1,4,4,64,transit,even-model,289.6670,446.32731943583724,446.32731943583724,30.63184721458483143691,.94400226299568616447
1,4,4,64,transit,even-even,289.6955,450.06219008848285,450.06219008848285,25.54003420672144444052,.94409514228292073746
1,4,4,64,increasing0.25,model-model,73.0080,16.7740203972088,16.7740203972088,7.72048559705596209974,1.00000000000000000000
1,4,4,64,increasing0.25,model-even,72.9818,19.27892040307971,19.27892040307971,6.43419614204605564763,.99964113521805829498
1,4,4,64,increasing0.25,even-model,72.9948,17.418030223244934,17.418030223244934,7.71908971701704665623,.99981919789612097304
1,4,4,64,increasing0.25,even-even,72.9702,18.07398787788723,18.07398787788723,6.43317346686885072468,.99948224852071005917
1,4,4,64,increasing0.5,model-model,146.0398,51.68614191454826,51.68614191454826,15.44348800812148386278,1.00000000000000000000
1,4,4,64,increasing0.5,model-even,146.2469,53.80163833417594,53.80163833417594,12.89336848044574531861,1.00141810657094846747
1,4,4,64,increasing0.5,even-model,145.2073,90.45074835045946,90.45074835045946,15.35545239203079395964,.99429949917762144292
1,4,4,64,increasing0.5,even-even,145.2375,91.91447921841862,91.91447921841862,12.80437810769827555806,.99450629212036718757
1,4,4,64,increasing0.75,model-model,220.1810,120.85568705857104,120.85568705857104,23.28380779154858085529,1.00000000000000000000
1,4,4,64,increasing0.75,model-even,220.4411,121.99914601822432,121.99914601822432,19.43445181084035687837,1.00118130083885530540
1,4,4,64,increasing0.75,even-model,217.4676,230.38115345540103,230.38115345540103,22.99686984476121991455,.98767650251384088545
1,4,4,64,increasing0.75,even-even,217.4542,232.56087209724006,232.56087209724006,19.17112176887540995168,.98761564349330777860
1,4,4,64,decreasing0.25,model-model,73.3014,27.168853689931353,232.56087209724006,7.75151220337549173046,1.00000000000000000000
1,4,4,64,decreasing0.25,model-even,73.3094,32.53702445652174,232.56087209724006,6.46307789963677398878,1.00010913843391804249
1,4,4,64,decreasing0.25,even-model,73.0449,39.03085675563256,232.56087209724006,7.72438771625565754409,.99650074896250276256
1,4,4,64,decreasing0.25,even-even,73.0489,39.03085675563256,232.56087209724006,6.44011178897626688295,.99655531817946178381
1,4,4,64,decreasing0.5,model-model,147.1255,74.57645414620575,230.98384313806415,15.55829914132227909140,1.00000000000000000000
1,4,4,64,decreasing0.5,model-even,147.3347,84.23816670879678,230.98384313806415,12.98927072680466904115,1.00142191530360134714
1,4,4,64,decreasing0.5,even-model,145.2880,139.8308515241358,230.98384313806415,15.36398629499598155746,.98751066266554744079
1,4,4,64,decreasing0.5,even-even,145.3186,140.19130560800696,230.98384313806415,12.81152801777338928659,.98771864836483138544
1,4,4,64,decreasing0.75,model-model,221.9324,149.68963990321018,226.5994082531395,23.46901569307558901907,1.00000000000000000000
1,4,4,64,decreasing0.75,model-even,222.1421,150.48104954755198,226.5994082531395,19.58441478294600980357,1.00094488231551589583
1,4,4,64,decreasing0.75,even-model,217.5279,290.0236773124697,290.0236773124697,23.00324647857535637240,.98015386667291481550
1,4,4,64,decreasing0.75,even-even,217.4937,291.55703349838194,291.55703349838194,19.17460415417709912896,.97999976569441866081
1,4,4,64,ideal,model-model,8.3217,8.074181008454108,8.074181008454108,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,model-even,11.7537,11.533340301003346,11.533340301003346,1.00000000000000000000,1.41241573236237787951
1,4,4,64,ideal,even-model,8.3217,8.074181008454108,8.074181008454108,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,even-even,11.7537,11.533340301003346,11.533340301003346,1.00000000000000000000,1.41241573236237787951
1,4,4,64,transit,model-model,307.8627,220.16431358538907,220.16431358538907,36.99516925628176935001,1.00000000000000000000
1,4,4,64,transit,model-even,307.4279,223.2646714033745,223.2646714033745,26.15584028858997592247,.99858768210634156070
1,4,4,64,transit,even-model,289.6304,433.4484923712348,433.4484923712348,34.80423471165747383347,.94077782076230735324
1,4,4,64,transit,even-even,289.7391,439.55232182539356,439.55232182539356,24.65088440235840628908,.94113090023572196306
1,4,4,64,increasing0.25,model-model,73.0277,17.71706004140787,17.71706004140787,8.77557470228438900705,1.00000000000000000000
1,4,4,64,increasing0.25,model-even,73.0277,23.98934782608696,23.98934782608696,6.21316691765146294358,1.00000000000000000000
1,4,4,64,increasing0.25,even-model,72.9799,21.274355227515507,21.274355227515507,8.76983068363435355756,.99934545384833426220
1,4,4,64,increasing0.25,even-even,72.9799,21.274355227515507,21.274355227515507,6.20910011315585730450,.99934545384833426220
1,4,4,64,increasing0.5,model-model,145.9907,46.36328338563323,46.36328338563323,17.54337455087301873415,1.00000000000000000000
1,4,4,64,increasing0.5,model-even,145.9473,55.7891809908999,55.7891809908999,12.41713673141223614691,.99970272078974893606
1,4,4,64,increasing0.5,even-model,145.2113,81.13574592485814,81.13574592485814,17.44971580326135284857,.99466130376797974117
1,4,4,64,increasing0.5,even-even,145.1506,81.11817672977747,81.11817672977747,12.34935382049907688642,.99424552385871154806
1,4,4,64,increasing0.75,model-model,220.6514,107.15322030892025,107.15322030892025,26.51518319574125479168,1.00000000000000000000
1,4,4,64,increasing0.75,model-even,220.6769,108.03694776306472,108.03694776306472,18.77510060661749066251,1.00011556690780117415
1,4,4,64,increasing0.75,even-model,217.4097,204.26082621387926,204.26082621387926,26.12563538700025235228,.98530850019533073436
1,4,4,64,increasing0.75,even-even,217.4469,205.94543167334209,205.94543167334209,18.50029352459225605553,.98547709191965244725
